Species,Soort,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,Total
Clupea harengus,haring,11,65,78,192,361,170,192,215,282,130,8,11,54,95,382,9,0,80,24,57,348,117,14,45,158,64,129,55,83,59,40,3528
Dicentrarchus labrax,Europese zeebaars,12,14,26,24,25,53,17,24,25,74,9,33,49,76,6,0,47,379,96,20,83,50,17,19,8,13,18,42,16,48,11,1334
Limanda limanda,schar,9,28,25,110,126,109,78,70,50,7,1,0,1,0,0,0,0,0,0,1,1,1,0,1,7,3,6,7,7,22,2,672
Platichthys flesus,bot,38,64,50,81,66,50,44,16,33,13,0,5,5,9,0,0,12,12,1,3,13,12,7,2,11,6,3,2,1,4,1,564
Liza aurata,goudharder,7,5,1,4,5,7,20,8,2,4,0,1,0,2,1,1,86,44,3,1,13,12,17,4,3,30,12,10,5,20,5,333
Gasterosteus aculeatus,driedoornige stekelbaars,1,6,10,9,67,71,29,39,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239
Ciliata mustela,vijfdradige meun,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,5,18,20,31,25,41,25,12,16,26,7,238
Trachurus trachurus,horsmakreel,0,0,0,0,0,0,0,0,5,1,2,8,48,84,46,9,1,6,1,1,2,6,0,2,0,0,0,0,0,1,0,223
Pleuronectes platessa,schol,0,0,1,0,0,0,1,2,25,34,0,3,17,10,5,1,1,6,2,0,15,23,0,2,4,2,2,4,0,2,0,162
Belone belone,geep,0,0,0,2,5,36,20,8,12,5,0,5,4,21,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,138
Merlangius merlangus,wijting,1,0,0,1,3,0,0,1,3,1,0,2,13,2,2,0,0,0,0,0,2,7,2,4,8,19,21,4,2,6,0,104
Alosa fallax,fint,5,20,10,1,0,1,1,0,0,3,0,1,11,7,2,0,0,1,0,0,2,4,0,0,3,3,0,0,0,0,0,75
Trisopterus luscus,steenbolk,0,0,0,0,0,0,0,3,6,1,0,6,18,22,8,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,72
Atherina presbyter,koornaarvis,0,27,1,1,3,5,3,2,2,1,0,1,0,0,0,0,0,0,0,0,10,4,0,0,0,2,0,0,0,0,0,62
Chelon labrosus,diklipharder,0,2,5,5,2,17,8,4,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52
Neogobius melanostomus,zwartbekgrondel,0,4,5,11,3,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,6,3,0,1,2,0,52
Syngnatus acus,grote zeenaald,3,1,3,3,10,7,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,35
Salmo trutta,forel,0,3,1,2,1,1,3,1,2,0,0,0,2,0,0,0,2,1,2,0,0,4,0,0,1,1,0,1,0,0,0,28
Anguilla anguilla,paling,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,5,1,3,5,6,1,26
Myoxocephalus scorpius,gewone zeedonderpad,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,2,8,3,26
Sprattus sprattus,sprot,0,0,0,0,0,0,0,3,1,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15
Pollachius pollachius,pollak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,0,0,1,3,0,0,0,0,0,12
Sardina pilchardus,Europese sardine,0,0,0,0,4,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Pomatoschistus minutus,dikkopje,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,0,11
Zoarces viviparus,puitaal,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,11
Solea solea,tong,1,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,10
Pholis gunnellus,botervis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,1,0,0,0,0,0,0,0,9
Arnoglossus laterna,schurftvis,0,1,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Scomber scombrus,Atlantische makreel,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7
Scophthalmus maximus,tarbot,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7
Agonus cataphractus,harnasmannetje,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6
Gadus morhua,kabeljauw,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,5
Taurulus bubalis,groene zeedonderpad,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Trigla lucerna,rode poon,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Sparus aurata,goudbrasem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3
Mullus surmuletus,mul,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Osmerus eperlanus,spiering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Ammodytes tobianus,zandspiering,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cyclopterus lumpus,snotolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Echiichthys vipera,kleine pieterman,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lampetra fluviatilis,rivierprik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Liparis liparis,slakdolf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Lipophrys pholis,gewone slijmvis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Microstomus kitt,tongschar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pomatoschistus microps,brakwatergrondel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Spinachia spinachia,zeestekelbaars,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
